text,true,pred
operating profit totalled eur mn eur mn representing net sale,positive,negative
helsinki afx share closed higher led nokia announced plan team sanyo manufacture handset nokian tyre earnings report beat analyst expectation dealer said,positive,neutral
board director propose dividend per share per share paid,positive,neutral
biohit already service many current genesis customer customer base expected expand result agreement,positive,neutral
operating profit wa eur mn eur mn,positive,negative
ebit margin wa,positive,negative
elcoteq se privately held provider electronics manufacturing service communication company said thursday signed manufacturing supply deal communication equipment company andrew,positive,neutral
operating profit totaled eur mn slightly eur mn corresponding period,positive,negative
operating profit totaled eur mn eur mn,positive,negative
operating profit wa eur mn eur mn,positive,negative
operating profit wa eur mn eur mn,positive,negative
profit totaled eur mn eur mn,positive,negative
operating profit totalled eur mn eur mn,positive,negative
ruukki order book end wa,positive,neutral
disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo,positive,neutral
growth net sale first half ha compared first half,positive,negative
total delivery volume paper business wa tonne tonne,positive,neutral
company generates net sale mln euro mln annually employ,neutral,positive
tielinja generated net sale mln euro mln,neutral,positive
estimate operating profit improve third quarter,positive,negative
appointment kaupthing bank aim capital market activity within group improve overall service client,positive,neutral
capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia,positive,neutral
number collection error fell considerably operation speeded,positive,neutral
new factory working model reorganisation would decrease nokian tyre cost factory eur million usd,positive,negative
unit cost flight operation fell percent,positive,negative
company result tax totalled eur mn eur mn corresponding period,positive,negative
finnish pharmaceutical company orion report profit tax eur mn third quarter eur mn corresponding period,positive,negative
finnish sampo bank danish danske bank group report profit tax eur mn eur mn,positive,negative
profit tax wa eur mn eur mn year earlier,positive,negative
finnish power supply solution system provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative,positive
adp news apr finnish business information system developer solteq oyj hel said today net loss widened eur usd first quarter eur peri,negative,positive
earnings per share eps amounted loss,positive,negative
earnings per share eps loss,positive,negative
operating profit totalled eur mn operating loss eur mn,positive,negative
earnings per share eps amounted loss,positive,negative
separating side business able faster expand develop tapro retail network,positive,neutral
combining deep domain expertise application service management asm outsourcing service offering ha proved winning combination,positive,neutral
raisio bid buy glisten deal company chairman uk snack firm told today february,positive,neutral
combined activity create value shareholder good employee customer,positive,neutral
finnish flexible packaging manufacturer suominen corporation report net sale eur mn first quarter compared eur mn year earlier,positive,negative
according atrium president ceo matti tikkakoski company swedish operation significantly improved first quarter,positive,negative
arvo vuorenmaa loviisa plant general manager said application new licence wa standard procedure wa quite confident approval granted,positive,neutral
basware ceo ilkka sihvo comment conjunction interim report whole basware succeeded well second quarter,positive,neutral
citigroup inc nyse c ha announced global transaction service gts business ha awarded new mandate pohjola bank group,positive,neutral
company also said poland profitability program ha launched oborniki steel frame sandwich panel plant,positive,neutral
demand sport equipment wa good,positive,neutral
finnish airline finnair ha deal uk public sector official airline flight london heathrow osaka japan well flight manchester uk helsinki finland,positive,neutral
however sale volume food industry expected remain relatively good level finland scandinavia atrium said,positive,negative
moderate significant change resulted significant reduction estimated cvd risk,positive,neutral
according finnair technical service measure due employment situation,neutral,negative
agreement valid four year,neutral,positive
business ha sale euro million ha responsible sale marketing lanxess paper chemical business kemira bought euro million early year cw,neutral,positive
location make mall convenient place shop consumer three large residential area nearby jaroszowka wysockiego zgody,positive,neutral
india trade russia currently stand four billion dollar growing per cent fiscal,positive,negative
price raw material aluminium went end company considers outlook favourable,positive,neutral
viking line manages well current ferry,positive,neutral
recommendable nokian z according adac judgement latest summer tyre test german automobile association adac,positive,neutral
tietoenator expanding business quickly russia,positive,neutral
incap contract manufacturing service private limited ha inked agreement six new customer india,positive,neutral
net profit wa mln compared mln,positive,negative
loss totaled eur mn compared loss eur mn first quarter,positive,negative
previously eb delivered custom solution lg electronics making commercially available mobile terminal vendor well wireless operator,positive,neutral
systeemitiimi sale project resource also strengthened director paul skogberg said,positive,neutral
company well positioned brazil uruguay,positive,neutral
mformation nokia noted established interoperability agreement cover commercially proven management mobile device well mobile device security mobile application management,positive,neutral
mn pretax profit eur mn eur mn third quarter,positive,negative
operating profit totaled eur mn compared eur mn corresponding period,positive,negative
raute posted net profit mln euro mln third quarter compared net loss euro corresponding period,positive,negative
earnings per share eps amounted,neutral,negative
neste shipping likely remain finnish oil sector transport significant emergency supply,neutral,positive
increase range vary,neutral,positive
end march company loan amounted eur mn,neutral,negative
delivery due second half,neutral,negative
marathon ha percent stake plx said according bloomberg,neutral,positive
market share volkswagen passenger car finland wa percent audi market share percent seat share wa percent,neutral,positive
total restructuring cost expected eur eur mn wa booked december,neutral,positive
cash flow operating activity investment wa eur million eur million,neutral,positive
group cumulative sale review period eur million eur million profit tax wa eur million,neutral,positive
group sale period eur million eur million profit tax wa eur million,neutral,positive
item eur profit amounted eur,neutral,negative
boomerang boat net sale eur mn made operating profit eur mn,neutral,positive
combined net sale million ebitda wa million,neutral,positive
elcoteq expects net sale last quarter level third quarter,neutral,positive
eq bank forecast olvi net sale eur second quarter operating profit eur mn,neutral,positive
eur mn wa net interest income,neutral,positive
net profit wa eur million company paid dividend eur apiece,neutral,positive
net profit wa company paid dividend apiece,neutral,positive
group net sale third quarter totaled eur mn operating profit eur mn,neutral,positive
group net sale stood eur million employee,neutral,positive
avc systemhaus net sale eur million usd,neutral,positive
sanoma magazine expects net sale level,neutral,negative
scanfil net sale totalled eur mn operating profit eur mn,neutral,negative
first quarter sacanfil net sale totalled eur mn operating profit eur mn,neutral,negative
third quarter net sale totaled eur mn operating profit eur mn,neutral,positive
estimated consolidated turnover kausta guder reach lt u mn eur mn,neutral,positive
posted turnover mln euro mln operating profit mln euro mln,neutral,negative
operating profit operation finland period review totaled eur mn remaining level,neutral,negative
profit tax totaled eur mn,neutral,negative
tekla group net sale approximately million euro operating result million euro,neutral,positive
combined company net sale mln euro mln operating profit mln euro mln,neutral,positive
company expects net sale whole eur mn,neutral,positive
company net sale eur mn profit eur mn,neutral,negative
company reported net sale mln euro mln operating margin pct,neutral,negative
divested activity net sale eur million operating profit eur million,neutral,negative
group posted net sale mln euro mln operating profit euro mln,neutral,negative
group net sale,neutral,positive
group turnover wa eur million operating profit wa eur million,neutral,positive
net sale healthcare trade business eur million eur million operating profit eur million eur million,neutral,positive
net sale power plant business eur million,neutral,positive
remainder revenue come technology agreement firm interdigital said,neutral,positive
value agreement eur year,neutral,positive
said ha indicated interest domestic consolidation,neutral,positive
valmet automotive report net sale eur operating profit eur,neutral,negative
third quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,negative,positive
last year million passenger flew airline percent,negative,positive
china based operation enable u fully leverage resource expertise wireless solution also strengthen capability offer product customer china,positive,neutral
consolidated operating profit excluding item wa eur mn eur mn year earlier,positive,negative
cash flow business operation totalled eur mn compared negative eur mn first half,positive,negative
cash flow operation totalled eur mn compared negative eur mn corresponding period,positive,negative
cash flow operation totalled eur mn compared negative eur mn second quarter,positive,negative
ebit excluding item totalled eur mn eur mn,positive,negative
thus method cut working cost fasten planning building process,positive,neutral
agreement expired earlier month,neutral,positive
finnair passenger load factor measure number sold seat share available seat dropped percentage point september,negative,neutral
net sale eaten weak u dollar,negative,positive
financing arrangement enable company ensure line treasury policy ha sufficient financial instrument disposal potential capital requirement,positive,neutral
september finnish waste management recycling company lassila tikanoja expands operation russia introducing recently completed recycling plant city dubna near moscow,positive,neutral
ruukki group calculates ha lost eur failed project,negative,positive
finnish business software group affectogenimap oyj said net profit halved mln euro mln first nine month mln euro mln period,negative,positive
insurer axa par c slid eur citigroup ing slashed target stock,negative,neutral
company confirmed estimate lower revenue whole given interim report august,negative,neutral
profit period wa eur mn eur mn,negative,positive
company said sale three month end march slid u last year,negative,positive
extremely delighted project continuation cooperation viking line,positive,neutral
demand fireplace product wa lower expected especially germany,negative,neutral
sale ragutis controlled finnish brewery olvi declined percent million liter company held percent market,negative,positive
