text,true,pred
helsinki afx share closed higher led nokia announced plan team sanyo manufacture handset nokian tyre earnings report beat analyst expectation dealer said,positive,neutral
board director propose dividend per share per share paid,positive,neutral
megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,positive,neutral
sale risen export market,positive,neutral
agreement strengthens partnership nokia siemens network,positive,neutral
acquisition considerably increase kemira sale market position russian metal industry coating market,positive,neutral
biohit already service many current genesis customer customer base expected expand result agreement,positive,neutral
construction volume meanwhile grow rate percent annually,positive,neutral
according finnish metso mineral value company order ha gone eur bn month,positive,neutral
elcoteq se privately held provider electronics manufacturing service communication company said thursday signed manufacturing supply deal communication equipment company andrew,positive,neutral
finnish government announced wednesday sold percent stake chemical fertilizer group kemira oyj million million sending company share price percent,positive,neutral
production capacity increase tonne per year raw material continue recycled paper board,positive,neutral
ruukki order book end wa,positive,neutral
company market share continued increase,positive,neutral
disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo,positive,neutral
growth net sale first half ha compared first half,positive,negative
total delivery volume paper business wa tonne tonne,positive,neutral
value firm forestry holding increased sek bn,positive,neutral
tielinja generated net sale mln euro mln,neutral,positive
ford struggling face slowing truck suv sale surfeit got ta car,negative,neutral
pharmaceutical group orion corp reported fall earnings hit larger expenditure r marketing,negative,neutral
however growth margin slowed due financial crisis,negative,positive
basware corporation stock exchange release august basware signed large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,positive,neutral
appointment kaupthing bank aim capital market activity within group improve overall service client,positive,neutral
theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along product,positive,neutral
succeeded increasing market share sold apartment comment mr kari kauniskangas head yit international construction service,positive,neutral
capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia,positive,neutral
finnish telecom software developer tecnomen oyj said december mln mln euro order supply expansion charging messaging system mobile fixed network brasil telecom,positive,neutral
bank see potential getinge share rise,positive,neutral
january ephc board director ha approved increase quarterly dividend per share,positive,neutral
bilfinger investor cheered agreement pushing share euro euro afternoon trade,positive,neutral
london marketwatch nokia nok said service contract run hutchison essar network operation nine location india,positive,neutral
addition cramo peab signed exclusive rental agreement finland extended existing rental agreement swedish market another five year,positive,neutral
outotec oyj press release december outotec establishes new subsidiary kolkata outotec ha established subsidiary india order better serve indian customer increase business growing indian market,positive,neutral
number collection error fell considerably operation speeded,positive,neutral
new factory working model reorganisation would decrease nokian tyre cost factory eur million usd,positive,neutral
unit cost flight operation fell percent,positive,neutral
february steel maker rautaruukki oyj hel rtrks ruukki said today slipped pretax loss fourth quarter profit,negative,positive
adpnews feb steel maker rautaruukki oyj hel rtrks ruukki said today slipped pretax loss eur million usd fourth quarter,negative,positive
april finnish construction engineering company outotec oyj hel said today slipped net loss first quarter net profit corresponding period last year,negative,positive
finnish solution provider affecto oyj hel said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,negative,positive
adpnews feb finnish real estate investor sponda oyj hel said today slipped net loss eur million usd profit eur million,negative,positive
adpnews jul steel maker rautaruukki oyj ruukki hel rtrks said today slipped net loss eur million usd first half net profit eur,negative,positive
profit tax wa eur mn eur mn,negative,positive
august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened first half corresponding period year earlier,negative,positive
finnish power supply solution system provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative,positive
adp news apr finnish business information system developer solteq oyj hel said today net loss widened eur usd first quarter eur peri,negative,positive
salonen added data show producer pulp inventory north america declining,negative,neutral
elcoteq group recently announced last three month previous year brought major loss half billion kroon eur mln fifth quarter running,negative,positive
cash flow operation recent quarter also reached eight year low,negative,neutral
cet monday share bavarian nordic climbed stock exchange copenhagen lost past month,positive,neutral
growth rate paying national debt extremely painful,negative,neutral
customer ha satisfied basware invoice automation solution extends implementation new geography,positive,neutral
separating side business able faster expand develop tapro retail network,positive,neutral
according viking line managing director eklund company board director satisfied viking line performance,positive,neutral
combining deep domain expertise application service management asm outsourcing service offering ha proved winning combination,positive,neutral
finnish construction company yit oyj said november mln euro mln contract construct new office building local property company tapiola real estate oy,positive,neutral
major order india comptel corporation ha received significant order mediation provisioning solution used leading operator india,positive,neutral
standardised service met positive reception among customer well itella,positive,neutral
raisio bid buy glisten deal company chairman uk snack firm told today february,positive,neutral
combined activity create value shareholder good employee customer,positive,neutral
finnish construction group ha awarded two road building contract lithuanian transport administration,positive,neutral
according atrium president ceo matti tikkakoski company swedish operation significantly improved first quarter,positive,neutral
according nordic financial group nordea analyst sami sarkamies make nokia portfolio competitive,positive,neutral
arvo vuorenmaa loviisa plant general manager said application new licence wa standard procedure wa quite confident approval granted,positive,neutral
